stream,family,repositioning,reach_threshold,n_visits_in_prefix,true_t80_hours,status,t_star_status,predicted_t80_hours,abs_error_hours,interval_lo,interval_hi,covered
on_model_7,on_model,without_repositioning,50.0,5,91.823965207235,OK,REACHED,94.05523844564702,2.2312732384120153,85.83499771558716,123.79134689965272,1.0
on_model_7,on_model,without_repositioning,60.0,6,91.823965207235,OK,REACHED,93.36498965203634,1.5410244448013373,87.79999918442118,114.57164511370664,1.0
off_model_0,off_model,with_repositioning,40.0,2,73.04490378479039,INSUFFICIENT_DATA,,,,,,
off_model_0,off_model,with_repositioning,50.0,2,73.04490378479039,INSUFFICIENT_DATA,,,,,,
off_model_0,off_model,with_repositioning,60.0,4,73.04490378479039,INSUFFICIENT_DATA,,,,,,
off_model_0,off_model,without_repositioning,40.0,2,73.04490378479039,INSUFFICIENT_DATA,,,,,,
off_model_0,off_model,without_repositioning,50.0,3,73.04490378479039,INSUFFICIENT_DATA,,,,,,
off_model_0,off_model,without_repositioning,60.0,4,73.04490378479039,INSUFFICIENT_DATA,,,,,,
off_model_1,off_model,with_repositioning,40.0,2,102.64092259012688,INSUFFICIENT_DATA,,,,,,
off_model_1,off_model,with_repositioning,50.0,2,102.64092259012688,INSUFFICIENT_DATA,,,,,,
off_model_1,off_model,with_repositioning,60.0,5,102.64092259012688,OK,NOT_REACHED,,,,,
off_model_1,off_model,without_repositioning,40.0,2,102.64092259012688,INSUFFICIENT_DATA,,,,,,
off_model_1,off_model,without_repositioning,50.0,4,102.64092259012688,INSUFFICIENT_DATA,,,,,,
off_model_1,off_model,without_repositioning,60.0,5,102.64092259012688,OK,REACHED,104.85394887037988,2.213026280253004,100.50778798361922,150.9334305904323,1.0
off_model_2,off_model,with_repositioning,40.0,2,56.056828335321946,INSUFFICIENT_DATA,,,,,,
off_model_2,off_model,with_repositioning,50.0,2,56.056828335321946,INSUFFICIENT_DATA,,,,,,
off_model_2,off_model,with_repositioning,60.0,3,56.056828335321946,INSUFFICIENT_DATA,,,,,,
off_model_2,off_model,without_repositioning,40.0,2,56.056828335321946,INSUFFICIENT_DATA,,,,,,
off_model_2,off_model,without_repositioning,50.0,2,56.056828335321946,INSUFFICIENT_DATA,,,,,,
off_model_2,off_model,without_repositioning,60.0,3,56.056828335321946,INSUFFICIENT_DATA,,,,,,
off_model_3,off_model,with_repositioning,40.0,2,82.16854542998095,INSUFFICIENT_DATA,,,,,,
off_model_3,off_model,with_repositioning,50.0,2,82.16854542998095,INSUFFICIENT_DATA,,,,,,
off_model_3,off_model,with_repositioning,60.0,5,82.16854542998095,OK,REACHED,97.41734503984341,15.24879960986246,74.55051574418056,142.1059513020839,1.0
off_model_3,off_model,without_repositioning,40.0,2,82.16854542998095,INSUFFICIENT_DATA,,,,,,
off_model_3,off_model,without_repositioning,50.0,3,82.16854542998095,INSUFFICIENT_DATA,,,,,,
off_model_3,off_model,without_repositioning,60.0,4,82.16854542998095,INSUFFICIENT_DATA,,,,,,
off_model_4,off_model,with_repositioning,40.0,2,82.45219926225829,INSUFFICIENT_DATA,,,,,,
off_model_4,off_model,with_repositioning,50.0,2,82.45219926225829,INSUFFICIENT_DATA,,,,,,
off_model_4,off_model,with_repositioning,60.0,5,82.45219926225829,OK,REACHED,99.98781296687295,17.53561370461466,75.98973312522342,159.76306935153085,1.0
off_model_4,off_model,without_repositioning,40.0,2,82.45219926225829,INSUFFICIENT_DATA,,,,,,
off_model_4,off_model,without_repositioning,50.0,3,82.45219926225829,INSUFFICIENT_DATA,,,,,,
off_model_4,off_model,without_repositioning,60.0,4,82.45219926225829,INSUFFICIENT_DATA,,,,,,
off_model_5,off_model,with_repositioning,40.0,2,72.74172855995155,INSUFFICIENT_DATA,,,,,,
off_model_5,off_model,with_repositioning,50.0,2,72.74172855995155,INSUFFICIENT_DATA,,,,,,
off_model_5,off_model,with_repositioning,60.0,4,72.74172855995155,INSUFFICIENT_DATA,,,,,,
off_model_5,off_model,without_repositioning,40.0,2,72.74172855995155,INSUFFICIENT_DATA,,,,,,
off_model_5,off_model,without_repositioning,50.0,3,72.74172855995155,INSUFFICIENT_DATA,,,,,,
off_model_5,off_model,without_repositioning,60.0,4,72.74172855995155,INSUFFICIENT_DATA,,,,,,
off_model_6,off_model,with_repositioning,40.0,2,87.93635576963626,INSUFFICIENT_DATA,,,,,,
off_model_6,off_model,with_repositioning,50.0,2,87.93635576963626,INSUFFICIENT_DATA,,,,,,
off_model_6,off_model,with_repositioning,60.0,5,87.93635576963626,OK,REACHED,114.43306883996104,26.496713070324773,84.04621627686821,148.70901837996968,1.0
off_model_6,off_model,without_repositioning,40.0,2,87.93635576963626,INSUFFICIENT_DATA,,,,,,
off_model_6,off_model,without_repositioning,50.0,3,87.93635576963626,INSUFFICIENT_DATA,,,,,,
off_model_6,off_model,without_repositioning,60.0,4,87.93635576963626,INSUFFICIENT_DATA,,,,,,
